Date,Day,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,totalTestResults,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,Province_State,state
2020-05-17,64,195.74872757157232,3308.1082504037136,0.0,2.673601027979029,21.388808223832232,0.0,0.0,0.3701909115663271,4.154364674244338,147.66504139145715,4.0309677037222285,21.388808223832232,3503.8569779752856,0.0,138.20460698476214,7.444950554833912,145.64955753959603,Arkansas,AR
2020-05-18,65,197.96987304097024,3308.1082504037136,0.0,3.167188910067465,21.800131458905927,0.0,0.0,0.4935878820884361,4.154364674244338,149.92731918436246,4.113232350736968,21.800131458905927,3506.0781234446845,0.4113232350736967,0.0,2.2211454693979626,2.2211454693979626,Arkansas,AR
2020-05-19,66,202.49442862678092,3651.645416337265,0.0,3.208321233574835,22.005793076442778,0.0,0.0,0.5758525291031755,4.154364674244338,153.79375759405522,4.195496997751707,22.005793076442778,3854.139844964046,0.20566161753684836,343.53716593355153,4.524555585810664,348.0617215193622,Arkansas,AR
2020-05-20,67,205.7850145073705,3753.53018166502,0.0,3.208321233574835,22.005793076442778,0.0,0.0,0.5758525291031755,4.154364674244338,158.441710150388,4.401158615288556,22.005793076442778,3959.31519617239,0.0,101.88476532775469,3.290585880589574,105.17535120834425,Arkansas,AR
2020-05-21,68,224.5002217032237,3858.9523268144085,0.0,3.208321233574835,22.005793076442778,0.0,0.0,0.5758525291031755,4.154364674244338,161.03304653135228,4.524555585810664,22.005793076442778,4083.452548517632,0.0,105.4221451493885,18.715207195853203,124.13735234524168,Arkansas,AR
2020-05-22,69,230.83459952335863,4007.727940940565,0.0,3.5373798216337926,24.02127692830389,0.0,0.0,0.5758525291031755,4.524555585810664,165.72213141119244,4.647952556332774,24.02127692830389,4238.562540463923,2.0154838518611142,148.7756141261561,6.33437782013493,155.10999194629105,Arkansas,AR
2020-05-23,70,230.83459952335863,4007.727940940565,0.0,3.3317182040969437,24.26807086934811,0.0,0.0,0.5758525291031755,4.565687909318034,165.72213141119244,4.647952556332774,24.26807086934811,4238.562540463923,0.24679394104421806,0.0,0.0,0.0,Arkansas,AR
2020-05-24,71,243.58561981064324,4222.603198943064,0.0,3.5373798216337926,24.59712945740707,0.0,0.0,0.6992494996252846,4.565687909318034,170.61687790856942,4.771349526854882,24.59712945740707,4466.188818753707,0.32905858805895744,214.87525800249918,12.7510202872846,227.62627828978378,Arkansas,AR
2020-05-25,72,247.9867784259318,4343.285436113686,0.0,3.7841737626780105,24.885055721958654,0.0,0.0,0.6992494996252846,4.565687909318034,174.77124258281378,4.812481850362252,24.885055721958654,4591.272214539618,0.28792626455158776,120.68223717062263,4.401158615288556,125.0833957859112,Arkansas,AR
2020-05-26,73,254.19775927554463,4343.285436113686,0.0,4.401158615288556,25.37864360404709,0.0,0.0,0.7403818231326542,4.689084879840143,178.18522543392544,4.894746497376992,25.37864360404709,4597.483195389232,0.4935878820884361,0.0,6.210980849612821,6.210980849612821,Arkansas,AR
2020-05-27,74,258.1875946557595,4496.5444735021465,0.0,4.442290938795925,25.78996683912079,0.0,0.0,0.9049111171621329,4.771349526854882,181.96939919660346,4.935878820884362,25.78996683912079,4754.732068157906,0.4113232350736967,153.25903738845943,3.9898353802148585,157.2488727686743,Arkansas,AR
2020-05-28,75,268.92313109118294,4621.792398582086,0.0,4.277761644766446,26.32468704471659,0.0,0.0,1.1105727346989813,4.853614173869622,188.50943863427523,4.935878820884362,26.32468704471659,4890.71552967327,0.5347202055958058,125.24792507994067,10.735536435423485,135.98346151536416,Arkansas,AR
2020-05-29,76,268.92313109118294,4657.412990739469,0.0,4.277761644766446,27.435259779415578,0.0,0.0,1.1105727346989813,4.894746497376992,188.50943863427523,5.14154043842121,27.435259779415578,4926.336121830652,1.1105727346989813,35.62059215738214,0.0,35.62059215738214,Arkansas,AR
2020-05-30,77,288.46098475718355,4914.654541954558,0.0,4.277761644766446,28.874891102173514,0.0,0.0,1.0694404111916116,5.0592757914064705,212.48958323907175,5.470599026480167,28.874891102173514,5203.115526711742,1.4396313227579387,257.24155121508994,19.537853666000597,276.77940488109056,Arkansas,AR
2020-05-31,78,298.3327423989523,5028.920136658031,0.0,4.730217203347513,29.24508201373984,0.0,0.0,1.1105727346989813,5.0592757914064705,216.97300650137504,5.470599026480167,29.24508201373984,5327.252879056984,0.3701909115663271,114.26559470347297,9.871757641768724,124.13735234524168,Arkansas,AR
